Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2014-07-14,637.75,,,,,,0.0,0.0
2014-07-15,638.5,,635.0,,0.75,,0.0,0.0
2014-07-16,636.0,,,,2.5,,0.0,0.0
2014-07-17,647.25,,,,11.25,,0.0,0.0
2014-07-18,633.75,,,,13.5,,0.0,0.0
2014-07-21,642.25,634.75,634.5,,8.5,634.75,2.0,0.0
2014-07-22,642.75,,,,0.5,,0.0,2.0
2014-07-23,655.25,,,,12.5,,0.0,2.0
2014-07-24,647.25,,,,8.0,,0.0,2.0
2014-07-25,653.0,,,,5.75,,0.0,2.0
2014-07-28,650.0,,,,3.0,,0.0,2.0
2014-07-29,640.5,,,,9.5,,0.0,2.0
2014-07-30,642.0,,,,1.5,,0.0,2.0
2014-07-31,640.5,,,,1.5,,0.0,2.0
2014-08-01,640.5,,,,,,0.0,2.0
2014-08-04,645.25,,,,4.75,,0.0,2.0
2014-08-05,656.0,,,,10.75,,0.0,2.0
2014-08-06,665.5,,,,9.5,,0.0,2.0
2014-08-07,661.25,,,,4.25,,0.0,2.0
2014-08-08,649.0,,,,12.25,,0.0,2.0
2014-08-11,643.75,,,,5.25,,0.0,2.0
2014-08-12,639.5,,,,4.25,,0.0,2.0
2014-08-13,639.0,,,,0.5,,0.0,2.0
2014-08-14,639.5,,,,0.5,,0.0,2.0
2014-08-15,648.5,,,,9.0,,0.0,2.0
2014-08-18,638.0,,,,10.5,,0.0,2.0
2014-08-19,637.5,,,,0.5,,0.0,2.0
2014-08-20,628.5,,,,9.0,,0.0,2.0
2014-08-21,629.0,,,,0.5,,0.0,2.0
2014-08-22,633.75,,,,4.75,,0.0,2.0
2014-08-25,634.5,,,,0.75,,0.0,2.0
2014-08-26,637.75,,,,3.25,,0.0,2.0
2014-08-27,642.0,,,,4.25,,0.0,2.0
2014-08-28,644.0,,,,2.0,,0.0,2.0
2014-08-29,641.0,,,,3.0,,0.0,2.0
2014-09-02,633.75,,,,7.25,,0.0,2.0
2014-09-03,624.0,,,,9.5,,0.0,2.0
2014-09-04,618.0,,,,5.0,,0.0,2.0
2014-09-05,621.25,,,,2.75,,0.0,2.0
2014-09-08,620.0,,,,1.25,,0.0,2.0
2014-09-09,611.75,,,,8.25,,0.0,2.0
2014-09-10,604.25,,,,7.5,,0.0,2.0
2014-09-11,593.5,,,,10.75,,0.0,2.0
2014-09-12,585.75,,,,7.75,,0.0,2.0
2014-09-15,586.25,,,,0.5,,0.0,2.0
2014-09-16,582.75,,,,3.5,,0.0,2.0
2014-09-17,588.25,,,,5.5,,0.0,2.0
2014-09-18,578.25,,,,10.0,,0.0,2.0
2014-09-19,571.25,,,,7.0,,0.0,2.0
2014-09-22,566.0,,571.0,,5.25,,0.0,2.0
2014-09-23,562.0,,,,4.0,,0.0,2.0
2014-09-24,561.75,,,,0.25,,0.0,2.0
2014-09-25,556.25,,,,5.5,,0.0,2.0
2014-09-26,553.75,,555.0,,2.5,,0.0,2.0
2014-09-29,556.75,555.0,555.0,,3.0,555.0,4.0,2.0
2014-09-30,555.25,,,,1.5,,0.0,4.0
2014-10-01,561.5,,,,6.25,,0.0,4.0
2014-10-02,564.25,560.0,560.0,,2.75,560.0,4.0,4.0
2014-10-03,565.25,,,,1.0,,0.0,6.0
2014-10-06,565.25,,,,,,0.0,6.0
2014-10-07,575.0,,,,9.75,,0.0,6.0
2014-10-08,579.25,575.0,575.0,,4.25,575.0,2.0,6.0
2014-10-09,572.25,,,,7.0,,0.0,8.0
2014-10-10,574.25,,,,2.0,,0.0,8.0
2014-10-13,579.5,,,,5.25,,0.0,8.0
2014-10-14,584.0,,,,4.5,,0.0,8.0
2014-10-15,580.5,,,,3.5,,0.0,8.0
2014-10-16,589.5,,,,8.5,,0.0,8.0
2014-10-17,595.0,,,,5.75,,0.0,8.0
2014-10-20,592.75,,,,2.25,,0.0,8.0
